client_id,first_issue_date,first_redeem_date,age,gender
C00025,2022-09-13 00:00:00,2023-02-11 00:00:00,52,F
C00026,2020-01-06 00:00:00,2020-11-27 00:00:00,59,M
C00027,2020-12-28 00:00:00,2021-08-04 00:00:00,48,M
C00028,2022-03-05 00:00:00,2023-01-15 00:00:00,28,F
C00029,2020-12-17 00:00:00,2021-06-04 00:00:00,25,F
C00030,2021-05-05 00:00:00,2022-03-10 00:00:00,29,F
C00031,2022-03-10 00:00:00,2022-12-13 00:00:00,27,M
C00032,2020-01-14 00:00:00,2020-09-22 00:00:00,51,M
C00033,2023-07-09 00:00:00,2023-07-26 00:00:00,29,M
C00034,2023-10-28 00:00:00,2024-03-09 00:00:00,20,M
C00035,2020-10-13 00:00:00,2020-12-17 00:00:00,32,F
C00036,2023-07-18 00:00:00,2023-10-05 00:00:00,58,F
C00037,2023-03-17 00:00:00,2023-08-05 00:00:00,38,M
C00038,2022-01-15 00:00:00,2022-05-17 00:00:00,64,M
C00039,2020-09-04 00:00:00,2021-08-26 00:00:00,62,M
C00040,2022-01-01 00:00:00,2022-07-28 00:00:00,69,M
C00041,2022-04-15 00:00:00,2022-07-21 00:00:00,32,F
C00042,2022-06-19 00:00:00,2022-12-19 00:00:00,50,F
C00043,2022-04-15 00:00:00,2022-11-23 00:00:00,43,F
C00044,2020-12-13 00:00:00,2021-05-12 00:00:00,64,F
C00045,2022-02-04 00:00:00,2022-12-13 00:00:00,53,F
C00046,2023-10-12 00:00:00,2024-03-07 00:00:00,57,F
C00047,2020-11-28 00:00:00,2020-12-26 00:00:00,53,F
C00048,2022-01-23 00:00:00,2022-05-20 00:00:00,42,M
C00049,2020-07-13 00:00:00,2020-10-08 00:00:00,48,F
C00050,2022-09-04 00:00:00,2023-07-18 00:00:00,30,M
C00051,2020-09-18 00:00:00,2021-06-03 00:00:00,50,M
C00052,2023-04-25 00:00:00,2023-11-22 00:00:00,25,F
C00053,2023-02-03 00:00:00,2023-10-02 00:00:00,35,M
C00054,2022-03-29 00:00:00,2022-11-21 00:00:00,57,M
